system:index,B3_max,B3_mean,B3_median,B3_min,B3_p5,B3_p95,B3_stdDev,B4_max,B4_mean,B4_median,B4_min,B4_p5,B4_p95,B4_stdDev,B5_max,B5_mean,B5_median,B5_min,B5_p5,B5_p95,B5_stdDev,B6_max,B6_mean,B6_median,B6_min,B6_p5,B6_p95,B6_stdDev,B7_max,B7_mean,B7_median,B7_min,B7_p5,B7_p95,B7_stdDev,B8_max,B8_mean,B8_median,B8_min,B8_p5,B8_p95,B8_stdDev,census_date,country_iso3,latitude_of_centre,longitude_of_centre,plot_area,plot_id,plot_shape,wetmonths_era,.geo
00000000000000000008_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.278989,36.517193,0.125663706143592,MAR_10,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.255569,36.535876,0.125663706143592,MAR_11,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0_0,1378,766.7285714285714,701.0,354,444.0,1373.0,244.28092267648225,1886,878.0285714285715,883.0,317,373.0,1244.0,285.320820502544,2383,1271.2142857142858,1202.857142857143,824,837.3333333333334,1800.0,318.5990266713292,4167,1881.6142857142856,1684.5,847,871.0,3565.0,889.6336050445092,4899,2171.7,1959.5,897,935.75,4387.0,1098.0096063852473,4680,2185.4142857142856,1922.0,896,988.0,4108.0,1033.6252221167583,2015,MOZ,-15.257395,36.535874,0.125663706143592,MAR_12,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.1794,36.600052,0.125663706143592,MAR_24,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.177598,36.600099,0.125663706143592,MAR_25,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0_0,1870,810.4957983193277,739.75,359,491.5,1640.0,307.13779991008334,1696,885.5378151260504,858.5,369,414.0,1498.0,307.3578865406835,2459,1307.0504201680671,1243.2,597,790.0,1942.0,311.57951758280626,3882,1960.5210084033613,1732.25,605,897.5,3260.0,758.7781182611452,4512,2205.7899159663866,1990.0,674,909.0,3770.0,891.2850120311805,4459,2226.7563025210084,2075.0,618,866.5,3642.0,896.0062271541051,2015,MOZ,-15.315722,36.614249,0.125663706143592,MAR_27,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0_0,1870,810.4957983193277,739.75,359,491.5,1640.0,307.13779991008334,1696,885.5378151260504,858.5,369,414.0,1498.0,307.3578865406835,2459,1307.0504201680671,1243.2,597,790.0,1942.0,311.57951758280626,3882,1960.5210084033613,1732.25,605,897.5,3260.0,758.7781182611452,4512,2205.7899159663866,1990.0,674,909.0,3770.0,891.2850120311805,4459,2226.7563025210084,2075.0,618,866.5,3642.0,896.0062271541051,2015,MOZ,-15.31391,36.614274,0.125663706143592,MAR_28,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0_0,1870,810.4957983193277,739.75,359,491.5,1640.0,307.13779991008334,1696,885.5378151260504,858.5,369,414.0,1498.0,307.3578865406835,2459,1307.0504201680671,1243.2,597,790.0,1942.0,311.57951758280626,3882,1960.5210084033613,1732.25,605,897.5,3260.0,758.7781182611452,4512,2205.7899159663866,1990.0,674,909.0,3770.0,891.2850120311805,4459,2226.7563025210084,2075.0,618,866.5,3642.0,896.0062271541051,2015,MOZ,-15.317267,36.624573,0.125663706143592,MAR_30,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0_0,1870,810.4957983193277,739.75,359,491.5,1640.0,307.13779991008334,1696,885.5378151260504,858.5,369,414.0,1498.0,307.3578865406835,2459,1307.0504201680671,1243.2,597,790.0,1942.0,311.57951758280626,3882,1960.5210084033613,1732.25,605,897.5,3260.0,758.7781182611452,4512,2205.7899159663866,1990.0,674,909.0,3770.0,891.2850120311805,4459,2226.7563025210084,2075.0,618,866.5,3642.0,896.0062271541051,2015,MOZ,-15.315461,36.6246,0.125663706143592,MAR_31,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.186064,36.627062,0.125663706143592,MAR_32,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.187868,36.627075,0.125663706143592,MAR_33,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.178692,36.62822,0.125663706143592,MAR_34,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.176818,36.628413,0.125663706143592,MAR_35,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.185206,36.628595,0.125663706143592,MAR_36,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.157387,36.631452,0.125663706143592,MAR_37,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.159184,36.631447,0.125663706143592,MAR_38,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.166776,36.637088,0.125663706143592,MAR_39,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.164971,36.637112,0.125663706143592,MAR_40,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.181983,36.637962,0.125663706143592,MAR_41,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.177583,36.639165,0.125663706143592,MAR_42,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.191554,36.639347,0.125663706143592,MAR_43,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.15255,36.639996,0.125663706143592,MAR_44,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.154373,36.639978,0.125663706143592,MAR_45,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.158788,36.642421,0.125663706143592,MAR_46,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.160372,36.642437,0.125663706143592,MAR_47,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0_0,1924,845.7906976744187,801.25,394,538.0,1270.0,254.50024518099715,1890,929.5813953488372,877.5,333,414.0,1550.0,350.35219705240655,2232,1309.0116279069769,1276.5,694,940.0,1779.0,249.3133124639927,4807,2007.5116279069769,1650.5,809,1172.25,4142.0,907.1333296554418,5876,2293.0697674418607,1779.3333333333333,971,1347.0,4748.0,1114.5141165829782,5861,2455.593023255814,1819.6,1095,1434.0,5000.0,1192.6605335649444,2015,MOZ,-15.264528,36.643259,0.125663706143592,MAR_48,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0_0,1924,845.7906976744187,801.25,394,538.0,1270.0,254.50024518099715,1890,929.5813953488372,877.5,333,414.0,1550.0,350.35219705240655,2232,1309.0116279069769,1276.5,694,940.0,1779.0,249.3133124639927,4807,2007.5116279069769,1650.5,809,1172.25,4142.0,907.1333296554418,5876,2293.0697674418607,1779.3333333333333,971,1347.0,4748.0,1114.5141165829782,5861,2455.593023255814,1819.6,1095,1434.0,5000.0,1192.6605335649444,2015,MOZ,-15.262879,36.643376,0.125663706143592,MAR_49,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.185207,36.647416,0.125663706143592,MAR_50,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.173652,36.648421,0.125663706143592,MAR_51,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.188365,36.654014,0.125663706143592,MAR_52,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.179872,36.65628,0.125663706143592,MAR_53,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0_0,1870,810.4957983193277,739.75,359,491.5,1640.0,307.13779991008334,1696,885.5378151260504,858.5,369,414.0,1498.0,307.3578865406835,2459,1307.0504201680671,1243.2,597,790.0,1942.0,311.57951758280626,3882,1960.5210084033613,1732.25,605,897.5,3260.0,758.7781182611452,4512,2205.7899159663866,1990.0,674,909.0,3770.0,891.2850120311805,4459,2226.7563025210084,2075.0,618,866.5,3642.0,896.0062271541051,2015,MOZ,-15.315685,36.655885,0.125663706143592,MAR_54,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0_0,1924,845.7906976744187,801.25,394,538.0,1270.0,254.50024518099715,1890,929.5813953488372,877.5,333,414.0,1550.0,350.35219705240655,2232,1309.0116279069769,1276.5,694,940.0,1779.0,249.3133124639927,4807,2007.5116279069769,1650.5,809,1172.25,4142.0,907.1333296554418,5876,2293.0697674418607,1779.3333333333333,971,1347.0,4748.0,1114.5141165829782,5861,2455.593023255814,1819.6,1095,1434.0,5000.0,1192.6605335649444,2015,MOZ,-15.287222,36.658705,0.125663706143592,MAR_56,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0_0,1924,845.7906976744187,801.25,394,538.0,1270.0,254.50024518099715,1890,929.5813953488372,877.5,333,414.0,1550.0,350.35219705240655,2232,1309.0116279069769,1276.5,694,940.0,1779.0,249.3133124639927,4807,2007.5116279069769,1650.5,809,1172.25,4142.0,907.1333296554418,5876,2293.0697674418607,1779.3333333333333,971,1347.0,4748.0,1114.5141165829782,5861,2455.593023255814,1819.6,1095,1434.0,5000.0,1192.6605335649444,2015,MOZ,-15.285396,36.658726,0.125663706143592,MAR_57,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0_0,1354,736.6144578313254,737.3333333333334,412,481.75,1018.0,164.7894480863676,1670,783.2650602409639,813.0,205,396.0,1150.0,264.8198334734391,1781,1137.566265060241,1156.0,633,692.0,1526.0,265.17760326164876,3841,1747.012048192771,1658.0,676,776.8,3208.0,822.5706619073796,4452,2007.8192771084337,1848.0,789,862.0,3872.0,1006.98658351908,4616,2082.1927710843374,1786.0,786,951.0,3913.0,974.7669657605884,2015,MOZ,-15.176882,36.661331,0.125663706143592,MAR_58,circle,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
