plot_id,country_iso3,plot_shape,plot_area,latitude_of_centre,longitude_of_centre,census_date
MAR_105,MOZ,circle,0.125663706143592,-15.257087,36.767228,2015
MAR_106,MOZ,circle,0.125663706143592,-15.241373,36.767823,2015
MAR_107,MOZ,circle,0.125663706143592,-15.23956,36.767845,2015
MAR_109,MOZ,circle,0.125663706143592,-15.257786,36.768517,2015
MAR_111,MOZ,circle,0.125663706143592,-15.266368,36.769682,2015
MAR_113,MOZ,circle,0.125663706143592,-15.259267,36.774661,2015
MAR_114,MOZ,circle,0.125663706143592,-15.272768,36.777802,2015
MAR_117,MOZ,circle,0.125663706143592,-15.227946,36.78072,2015
MAR_118,MOZ,circle,0.125663706143592,-15.22976,36.780715,2015
MAR_119,MOZ,circle,0.125663706143592,-15.063113,36.99339,2015
MAR_120,MOZ,circle,0.125663706143592,-15.061309,36.993413,2015
MAR_121,MOZ,circle,0.125663706143592,-15.095333,36.995054,2015
MAR_122,MOZ,circle,0.125663706143592,-15.092912,37.006439,2015
MAR_123,MOZ,circle,0.125663706143592,-13.408128,37.383515,2015
MAR_124,MOZ,circle,0.125663706143592,-13.407528,37.400956,2015
MAR_125,MOZ,circle,0.125663706143592,-13.405948,37.385143,2015
MAR_126,MOZ,circle,0.125663706143592,-13.405359,37.402568,2015
MAR_127,MOZ,circle,0.125663706143592,-13.394995,37.39837,2015
MAR_128,MOZ,circle,0.125663706143592,-13.392806,37.399996,2015
MAR_129,MOZ,circle,0.125663706143592,-13.389484,37.414367,2015
MAR_130,MOZ,circle,0.125663706143592,-13.38732,37.416009,2015
MAR_131,MOZ,circle,0.125663706143592,-13.378111,37.380545,2015
MAR_132,MOZ,circle,0.125663706143592,-13.375935,37.382164,2015
MAR_133,MOZ,circle,0.125663706143592,-13.374807,37.406821,2015
MAR_134,MOZ,circle,0.125663706143592,-13.373121,37.410778,2015
MAR_135,MOZ,circle,0.125663706143592,-13.371005,37.410883,2015
MAR_136,MOZ,circle,0.125663706143592,-13.370005,37.410789,2015
MAR_137,MOZ,circle,0.125663706143592,-13.369503,37.427826,2015
MAR_138,MOZ,circle,0.125663706143592,-13.367764,37.414477,2015
MAR_139,MOZ,circle,0.125663706143592,-13.366429,37.427873,2015
MAR_140,MOZ,circle,0.125663706143592,-13.364697,37.414471,2015
MAR_141,MOZ,circle,0.125663706143592,-13.362556,37.386087,2015
MAR_142,MOZ,circle,0.125663706143592,-13.360803,37.391229,2015
MAR_143,MOZ,circle,0.125663706143592,-13.360388,37.387721,2015
MAR_144,MOZ,circle,0.125663706143592,-13.360155,37.421975,2015
MAR_145,MOZ,circle,0.125663706143592,-13.35776,37.391256,2015
MAR_146,MOZ,circle,0.125663706143592,-13.357089,37.421982,2015
MAR_147,MOZ,circle,0.125663706143592,-13.340217,37.433666,2015
MAR_148,MOZ,circle,0.125663706143592,-13.337872,37.395294,2015
MAR_149,MOZ,circle,0.125663706143592,-13.336734,37.433706,2015
MAR_150,MOZ,circle,0.125663706143592,-13.335647,37.422342,2015
MAR_151,MOZ,circle,0.125663706143592,-13.334378,37.395323,2015
MAR_152,MOZ,circle,0.125663706143592,-13.332148,37.424516,2015
MAR_153,MOZ,circle,0.125663706143592,-13.332134,37.422381,2015
MAR_154,MOZ,circle,0.125663706143592,-13.328644,37.42454,2015
MAR_155,MOZ,circle,0.125663706143592,-13.32742,37.430335,2015
MAR_156,MOZ,circle,0.125663706143592,-13.324385,37.407696,2015
MAR_157,MOZ,circle,0.125663706143592,-13.323905,37.430398,2015
MAR_158,MOZ,circle,0.125663706143592,-13.321346,37.41315,2015
MAR_159,MOZ,circle,0.125663706143592,-13.320889,37.407736,2015
MAR_160,MOZ,circle,0.125663706143592,-13.317235,37.413167,2015
MAR_161,MOZ,circle,0.125663706143592,-13.310619,37.46585,2015
MAR_162,MOZ,circle,0.125663706143592,-13.307628,37.42316,2015
MAR_163,MOZ,circle,0.125663706143592,-13.306508,37.465887,2015
MAR_164,MOZ,circle,0.125663706143592,-13.303511,37.423179,2015
MAR_165,MOZ,circle,0.125663706143592,-13.300397,37.589181,2015
