system:index,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,plot_id,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50,.geo
0000000000000000004e_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_90,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_91,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_97,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_99,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0_0,135,137,3,2,64,63,0,1,24,24,1,1,20,27,2,3,43,33,4,4,52,51,2,2,64,47,6,7,59,59,1,1,24,23,2,2,MAR_119,46,44,2,2,59,56,4,3,14,14,2,2,23,18,1,1,13,10,4,6,11,10,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0_0,135,137,3,2,64,63,0,1,24,24,1,1,20,27,2,3,43,33,4,4,52,51,2,2,64,47,6,7,59,59,1,1,24,23,2,2,MAR_120,46,44,2,2,59,56,4,3,14,14,2,2,23,18,1,1,13,10,4,6,11,10,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0_0,135,137,3,2,64,63,0,1,24,24,1,1,20,27,2,3,43,33,4,4,52,51,2,2,64,47,6,7,59,59,1,1,24,23,2,2,MAR_121,46,44,2,2,59,56,4,3,14,14,2,2,23,18,1,1,13,10,4,6,11,10,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0_0,135,137,3,2,64,63,0,1,24,24,1,1,20,27,2,3,43,33,4,4,52,51,2,2,64,47,6,7,59,59,1,1,24,23,2,2,MAR_122,46,44,2,2,59,56,4,3,14,14,2,2,23,18,1,1,13,10,4,6,11,10,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_123,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_124,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_125,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_126,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_127,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_128,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_129,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_130,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_131,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_132,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_133,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_134,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_135,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_136,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_137,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_138,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_139,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_140,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_141,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_142,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_143,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_144,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0_0,140,141,5,5,60,58,2,2,24,24,2,1,20,25,2,3,44,34,4,4,48,46,1,2,62,46,9,11,56,56,1,1,22,21,2,1,MAR_145,43,40,1,2,66,63,4,4,11,10,3,3,21,16,2,2,15,12,4,6,10,8,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_146,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_147,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_148,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_149,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0_0,142,143,4,4,61,57,1,3,22,22,1,1,17,24,1,2,43,32,4,3,47,46,1,1,56,39,8,9,56,56,1,2,23,20,1,1,MAR_150,44,40,2,2,68,64,2,2,9,8,3,3,20,15,2,2,14,11,4,6,10,8,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_231,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_232,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_233,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_234,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_235,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_236,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_237,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_238,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_239,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_240,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_241,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0_0,140,142,1,1,63,61,1,1,24,25,1,1,20,26,1,2,42,31,4,4,48,48,2,2,56,40,6,9,57,57,0,1,23,20,1,1,MAR_242,44,42,2,1,66,62,4,5,11,9,3,3,21,15,1,2,14,10,4,5,10,8,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_243,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_244,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_245,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_246,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_247,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_248,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_249,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_250,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_251,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_252,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_253,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0_0,146,148,3,4,66,65,2,2,24,25,1,1,20,23,4,4,43,31,3,3,55,55,1,1,55,42,8,11,64,64,2,2,23,21,1,1,MAR_254,46,44,2,2,64,62,6,6,13,11,2,3,19,16,2,1,15,10,3,5,16,16,1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_255,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_256,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_257,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6_0_0,145,146,2,3,68,68,1,1,24,25,1,1,21,24,4,4,43,31,4,3,56,56,2,2,65,51,9,10,67,68,3,3,25,23,2,2,MAR_258,47,46,2,2,56,56,9,8,16,15,4,4,20,15,2,1,15,10,3,5,15,15,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_259,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_260,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0_0,145,146,2,3,68,68,1,1,24,25,1,1,21,24,4,4,43,31,4,3,56,56,2,2,65,51,9,10,67,68,3,3,25,23,2,2,MAR_261,47,46,2,2,56,56,9,8,16,15,4,4,20,15,2,1,15,10,3,5,15,15,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_262,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0_0,145,146,2,3,68,68,1,1,24,25,1,1,21,24,4,4,43,31,4,3,56,56,2,2,65,51,9,10,67,68,3,3,25,23,2,2,MAR_263,47,46,2,2,56,56,9,8,16,15,4,4,20,15,2,1,15,10,3,5,15,15,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_264,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_265,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee_0_0,145,146,2,3,68,68,1,1,24,25,1,1,21,24,4,4,43,31,4,3,56,56,2,2,65,51,9,10,67,68,3,3,25,23,2,2,MAR_266,47,46,2,2,56,56,9,8,16,15,4,4,20,15,2,1,15,10,3,5,15,15,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_267,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_268,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1_0_0,143,145,4,4,68,68,2,2,25,25,2,1,18,21,1,2,43,32,4,4,54,54,1,2,55,43,9,11,66,66,1,1,23,21,2,2,MAR_269,46,45,2,2,59,58,10,9,14,13,3,3,20,15,2,1,15,11,3,6,15,15,1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2_0_0,143,145,4,4,68,68,2,2,25,25,2,1,18,21,1,2,43,32,4,4,54,54,1,2,55,43,9,11,66,66,1,1,23,21,2,2,MAR_270,46,45,2,2,59,58,10,9,14,13,3,3,20,15,2,1,15,11,3,6,15,15,1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0_0,144,146,4,4,67,67,1,1,22,21,1,2,16,20,4,3,43,31,4,4,54,54,1,1,55,42,8,11,68,68,1,1,24,21,2,1,MAR_271,45,44,2,2,72,68,5,4,12,11,2,2,19,15,1,1,15,11,3,6,14,14,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0_0,145,146,2,3,68,68,1,1,24,25,1,1,21,24,4,4,43,31,4,3,56,56,2,2,65,51,9,10,67,68,3,3,25,23,2,2,MAR_272,47,46,2,2,56,56,9,8,16,15,4,4,20,15,2,1,15,10,3,5,15,15,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5_0_0,145,146,2,3,68,68,1,1,24,25,1,1,21,24,4,4,43,31,4,3,56,56,2,2,65,51,9,10,67,68,3,3,25,23,2,2,MAR_273,47,46,2,2,56,56,9,8,16,15,4,4,20,15,2,1,15,10,3,5,15,15,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
