system:index,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,plot_id,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50,.geo
00000000000000000014_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_25,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0_0,136,136,3,1,66,64,3,4,25,26,2,2,24,29,2,2,42,32,4,3,52,52,1,1,65,48,3,6,59,58,1,0,24,21,2,1,MAR_27,47,44,1,2,60,55,2,1,14,14,2,2,23,18,1,1,14,10,4,6,12,10,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0_0,136,136,3,1,66,64,3,4,25,26,2,2,24,29,2,2,42,32,4,3,52,52,1,1,65,48,3,6,59,58,1,0,24,21,2,1,MAR_28,47,44,1,2,60,55,2,1,14,14,2,2,23,18,1,1,14,10,4,6,12,10,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0_0,136,136,3,1,66,64,3,4,25,26,2,2,24,29,2,2,42,32,4,3,52,52,1,1,65,48,3,6,59,58,1,0,24,21,2,1,MAR_30,47,44,1,2,60,55,2,1,14,14,2,2,23,18,1,1,14,10,4,6,12,10,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0_0,136,136,3,1,66,64,3,4,25,26,2,2,24,29,2,2,42,32,4,3,52,52,1,1,65,48,3,6,59,58,1,0,24,21,2,1,MAR_31,47,44,1,2,60,55,2,1,14,14,2,2,23,18,1,1,14,10,4,6,12,10,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_32,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_33,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_34,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_35,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_36,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_37,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_38,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_39,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_40,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
