system:index,fire_frequency,plot_id,.geo
00000000000000000065_0_0,5,MAR_124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0_0,2,MAR_125,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0_0,5,MAR_126,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0_0,5,MAR_127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0_0,5,MAR_128,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0_0,5,MAR_129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0_0,5,MAR_130,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0_0,2,MAR_131,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0_0,2,MAR_132,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0_0,5,MAR_133,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0_0,5,MAR_134,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0_0,5,MAR_135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0_0,5,MAR_136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0_0,5,MAR_137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0_0,5,MAR_138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0_0,5,MAR_139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0_0,5,MAR_140,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0_0,2,MAR_141,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0_0,2,MAR_142,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0_0,2,MAR_143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0_0,5,MAR_144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0_0,2,MAR_145,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0_0,5,MAR_146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0_0,5,MAR_147,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0_0,5,MAR_148,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0_0,5,MAR_149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0_0,5,MAR_150,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0_0,0,MAR_231,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0_0,0,MAR_232,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0_0,0,MAR_233,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0_0,0,MAR_234,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0_0,0,MAR_235,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0_0,0,MAR_236,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0_0,0,MAR_237,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0_0,0,MAR_238,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0_0,0,MAR_239,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0_0,0,MAR_240,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0_0,0,MAR_241,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0_0,0,MAR_242,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0_0,0,MAR_243,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0_0,0,MAR_244,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0_0,0,MAR_245,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0_0,0,MAR_246,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0_0,0,MAR_247,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0_0,0,MAR_248,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0_0,0,MAR_249,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de_0_0,0,MAR_250,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0_0,0,MAR_251,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0_0,0,MAR_252,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1_0_0,0,MAR_253,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0_0,0,MAR_254,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0_0,0,MAR_255,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0_0,0,MAR_256,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0_0,0,MAR_257,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6_0_0,0,MAR_258,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0_0,0,MAR_259,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8_0_0,0,MAR_260,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0_0,0,MAR_261,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea_0_0,0,MAR_262,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0_0,0,MAR_263,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0_0,0,MAR_264,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0_0,0,MAR_265,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee_0_0,0,MAR_266,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_0_0,0,MAR_267,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0_0,0,MAR_268,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1_0_0,0,MAR_269,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2_0_0,0,MAR_270,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0_0,0,MAR_271,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0_0,0,MAR_272,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5_0_0,0,MAR_273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6_0_0,0,MAR_275,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_0_0,0,MAR_276,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_0_0,0,MAR_277,"{""type"":""MultiPoint"",""coordinates"":[]}"
