plot_id,Adansonia,Afzelia,Aganope,Albizia,Aloe,Androstachys,Annona,Antidesma,Artabotrys,Asparagus,Balanites,Bauhinia,Berchemia,Bobgunnia,Boscia,Brachystegia,Bridelia,Burkea,Cassia,Catunaregam,Cercidoideae,Cissus,Colophospermum,Combretum,Commiphora,Crossopteryx,Croton,Cussonia,Dalbergia,Dalbergiella,Dichrostachys,Diospyros,Diplorhynchus,Erythrina,Erythrophleum,Faurea,Ficus,Flacourtia,Garcinia,Gardenia,Glenniea,Grewia,Guibourtia,Hymenocardia,Indet,Julbernardia,Kigelia,Lannea,Lecaniodiscus,Maerua,Manilkara,Margaritaria,Monotes,Moringa,Newtonia,Ochna,Olax,Ozoroa,Pappea,Parinari,Pericopsis,Philenoptera,Phyllocosmus,Piliostigma,Pleurostylia,Pseudolachnostylis,Ptaeroxylon,Pteleopsis,Pterocarpus,Salvadora,Sclerocarya,Senegalia,Senna,Spirostachys,Steganotaenia,Sterculia,Stereospermum,Strychnos,Syzygium,Tamarindus,Terminalia,Thespesia,Uapaca,Vachellia,Vernonia,Vitex,Zanha,Ziziphus
MAR_161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017222174431769825,0.0,0.4082296881730937,0.0,0.07217558667432253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011303461138608941,0.0,0.0,0.0,0.050273930025377445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012072977190115219,0.0,0.08606221306048963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011115041210052438,0.05418203328623544,0.0,0.0,0.0,0.00949052537080511,0.03902035474279902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009146941821980663,0.056321234329646176,0.0,0.0,0.0,0.1633838385447039,0.0,0.0,0.0,0.0,0.0
MAR_162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011675285043067129,0.46217050724187525,0.0,0.0,0.0,0.019552132484704825,0.0,0.0,0.0,0.0,0.011055358103855982,0.0,0.0,0.07797523626073624,0.0,0.0,0.059541532757843324,0.0,0.010651468062046681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335852904003796,0.0,0.0,0.01698985438670705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031203132151695474,0.0,0.0,0.0,0.0,0.0,0.0,0.23206026288135015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03353994022573827,0.0
MAR_163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022631270625704376,0.024629376122168027,0.0,0.0,0.22571149504651483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06480162224619593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031229343954872923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42916923905958465,0.0,0.0,0.0,0.0,0.0,0.0,0.02207582290354074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013366949170130829,0.0,0.0,0.16638488087128775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR_164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015971918491118276,0.0,0.03163648638656666,0.0,0.028400276396977495,0.29362327141111066,0.00927464333331917,0.05445902477315128,0.0,0.0,0.0,0.007074885591360878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022240792081760836,0.035860225125765054,0.016487820760510592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05069770937844799,0.2219951261600308,0.08885285468481652,0.0,0.0,0.01597036269729105,0.0,0.0,0.0,0.0,0.0,0.0,0.006670612383557736,0.0,0.0,0.0,0.0,0.0,0.0,0.007632416415403558,0.0,0.0,0.04564824933302774,0.0,0.0,0.02116284883042298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017981413869413338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR_165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999011536528517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22450863686551417,0.0,0.060688157531378926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335554454493445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04410739688772781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05449876255234301,0.0,0.0,0.24065247630430595,0.0,0.0,0.0,0.0
MAR_166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015050547799572005,0.010525689753399592,0.0,0.2912413067328412,0.0,0.05613130218141458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029890126232210597,0.053716036752759044,0.0,0.0,0.017499842236469488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076998329003587496,0.2697062245409467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026093464890272353,0.0,0.0,0.05882515677062361,0.0,0.0,0.0,0.008325082484924654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638389214308049,0.0,0.0,0.010705644365277305,0.038205850215849546,0.0
MAR_167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4580101575878297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5419898424121703,0.0,0.0,0.0,0.0
MAR_168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062099924421327776,0.08485392340930129,0.0,0.1478660933272387,0.0,0.029451043223600353,0.0,0.0057723455091764275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2361325090782747,0.0,0.1561983086271829,0.0,0.0,0.015534584354026553,0.0,0.0,0.0,0.0,0.0,0.0,0.005247772918366778,0.07519995289798607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017933229532220454,0.0,0.0,0.0,0.0,0.010721480725536442,0.0,0.0,0.10419004124154839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06608373131121123,0.0071332566022018285,0.0,0.0,0.017548947202796622,0.0065487211436967415
MAR_169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06760477485409212,0.0,0.0,0.04392819072859203,0.0,0.016666215130670778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12386101245837558,0.0,0.0,0.0,0.0,0.0,0.0,0.22142033973562258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12416738711352865,0.0,0.0,0.0,0.0,0.1155062682353321,0.0,0.0,0.08319982802469812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330131141390442,0.0,0.0,0.0,0.0,0.07063286958004382,0.0,0.0,0.0,0.0,0.0
MAR_170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6231850254296601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19020124056141471,0.0,0.0,0.0,0.0,0.0,0.1866137340089252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
