plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8
MAR_225,1.5446808,3.2062428,1.1351975,1.0666666666666667,0.06666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_226,1.0271579,3.2459526,2.4612482,0.2,0.7333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_227,0.9869866,3.9361115,2.6581466,0.26666666666666666,0.13333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_228,0.9654897,3.962749,2.838475,0.4666666666666667,0.06666666666666667,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_229,0.981233,3.936216,2.8412664,0.5333333333333333,0.13333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_23,-1.2843534,-1.31209,0.85309803,0.2,0.7333333333333333,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0
MAR_230,0.7441938,3.7825794,2.524698,1.0666666666666667,0.13333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_231,0.7255953,1.6051478,1.7283183,0.4666666666666667,0.4,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_232,0.30615726,1.1195642,2.5795274,0.0,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_233,0.33696273,3.1185622,2.474827,0.4,0.13333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_234,0.92821175,2.7670739,0.8247875,0.4666666666666667,0.5333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_235,0.30615726,1.1195642,2.5795274,0.0,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_236,0.6644743,3.7894921,2.4760194,1.2,0.4,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_237,0.2973889,1.1571554,2.5730367,0.0,0.06666666666666667,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_238,-0.011151906,2.9814808,1.7448996,0.6666666666666666,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_239,-0.6290886,0.4672156,0.117930636,0.4,0.4666666666666667,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_24,-1.2339071,-1.2531911,0.8437886,0.4,0.8,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0
MAR_240,0.7443248,1.5960567,1.6851174,0.5333333333333333,0.2,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_241,0.7440091,2.3587961,2.01929,0.3333333333333333,0.8,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_242,-0.0873789,2.8818624,1.258609,1.0,0.0,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_243,-4.505385,-5.3343,0.4027732,0.3333333333333333,0.06666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_244,-4.910529,-5.704474,-0.0015600596,0.6,0.26666666666666666,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_245,-4.4106956,-5.2546406,0.54948586,0.8666666666666667,0.0,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_246,-4.546366,-5.384733,0.37779826,0.2,0.13333333333333333,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_247,-4.2566376,-5.0993567,0.53345335,0.6,0.06666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_248,-0.8266795,0.27602753,-0.28886715,0.26666666666666666,0.13333333333333333,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_249,-4.7642264,-5.55706,-0.04281221,0.4666666666666667,0.06666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_25,-0.09783717,1.2633222,0.7021654,0.8,0.26666666666666666,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_250,-5.07491,-5.8937473,-0.12943809,0.0,0.8666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_251,-4.45085,-5.2977476,0.48305267,0.3333333333333333,0.13333333333333333,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_252,-5.0737014,-5.8972244,-0.12129687,0.0,0.8,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_253,-4.6993184,-5.4910393,0.011865887,0.8666666666666667,0.13333333333333333,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_254,-1.8856717,-2.543301,-0.03160232,1.0,0.4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_255,-4.394656,-5.2462177,0.54862684,0.9333333333333333,0.06666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_256,-4.3648143,-5.222873,0.5159579,0.2,0.0,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_257,-4.294286,-5.168269,0.28440702,0.7333333333333333,0.06666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_258,-3.7533991,-4.827236,2.1876004,0.0,0.2,0,2,2,2,0,6,6,6,0,0.1,0.1,0.1,0.1,0.1.1,0.1.1
MAR_259,-4.293475,-5.192805,0.55404395,0.9333333333333333,0.06666666666666667,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_26,-0.70456904,-0.114941545,0.9561369,0.3333333333333333,0.2,0,0,0,4,4,4,4,4,0,0,0,0.1,0.1.1,0.1.1.1,0.1.1.1
MAR_260,-4.7242827,-5.524495,-0.0001534347,0.5333333333333333,0.13333333333333333,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_261,-3.9486182,-4.840268,1.0588902,0.0,0.26666666666666666,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_262,-4.392357,-5.24547,0.52576536,0.26666666666666666,0.0,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_263,-3.9093592,-4.8476896,1.1268556,0.0,0.3333333333333333,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_264,-4.8145046,-5.627866,0.057908256,0.6666666666666666,0.4,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_265,-1.706593,-1.6192974,0.25146213,1.0666666666666667,0.4666666666666667,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_266,-3.8915963,-4.8187714,1.1408483,0.0,0.26666666666666666,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_267,-1.7993163,-1.96555,-0.046300273,0.9333333333333333,0.2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_268,-1.7989966,-2.157804,-0.105332464,0.6,0.2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_269,-2.0269673,-2.8082411,-0.2045326,0.0,0.6666666666666666,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_27,0.26676917,1.1650245,2.472903,0.0,0.2,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_270,-1.9771463,-2.7228024,-0.13729866,0.4,0.5333333333333333,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_271,-4.5863724,-5.4141026,0.3338657,0.4,0.0,0,2,2,2,0,5,5,5,0,0.1,0.1,0.1,0.1,0.1,0.1
MAR_272,-3.7590606,-4.8182554,2.1707308,0.4666666666666667,0.06666666666666667,0,2,2,2,0,6,6,6,0,0.1,0.1,0.1,0.1,0.1.1,0.1.1
MAR_273,-3.7590606,-4.8182554,2.1707308,0.0,0.06666666666666667,0,2,2,2,0,6,6,6,0,0.1,0.1,0.1,0.1,0.1.1,0.1.1
MAR_275,-3.7590606,-4.8182554,2.1707308,0.0,0.0,0,2,2,2,0,6,6,6,0,0.1,0.1,0.1,0.1,0.1.1,0.1.1
MAR_276,-3.7590606,-4.8182554,2.1707308,0.0,0.06666666666666667,0,2,2,2,0,6,6,6,0,0.1,0.1,0.1,0.1,0.1.1,0.1.1
MAR_277,-2.0508883,-2.8706996,-0.21659021,0.0,0.7333333333333333,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
MAR_278,-3.7750218,-4.8390546,2.1813085,0.0,0.13333333333333333,0,2,2,2,0,6,6,6,0,0.1,0.1,0.1,0.1,0.1.1,0.1.1
